Company Name,Company Slug,Website,HQ Country,Sector,Stage,Status,Pipeline Status,Notes
Conserva,conserva,https://www.kiva.org/about/where-kiva-works/partners/655,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Mongolia,visionfund-mongolia,https://www.kiva.org/about/where-kiva-works/partners/654,Mongolia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
d.light design,d-light-design,https://www.kiva.org/about/where-kiva-works/partners/609,Namibia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
South Pacific Business Development (SPBD) - Fiji,south-pacific-business-development-spbd-fiji,https://www.kiva.org/about/where-kiva-works/partners/562,Fiji,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa de Ahorro y Crédito Norandino,cooperativa-de-ahorro-y-credito-norandino,https://www.kiva.org/about/where-kiva-works/partners/484,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Benteng Mikro Indonesia (BMI),benteng-mikro-indonesia-bmi,https://www.kiva.org/about/where-kiva-works/partners/406,Indonesia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Inkomoko,inkomoko,https://www.kiva.org/about/where-kiva-works/partners/319,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FUNDAPEC,fundapec,https://www.kiva.org/about/where-kiva-works/partners/298,Dominican Republic,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Kaebauk,kaebauk,https://www.kiva.org/about/where-kiva-works/partners/243,Timor-Leste,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Strathmore University,strathmore-university,https://www.kiva.org/about/where-kiva-works/partners/218,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
MiCredito,micredito,https://www.kiva.org/about/where-kiva-works/partners/176,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Urwego Bank,urwego-bank,https://www.kiva.org/about/where-kiva-works/partners/161,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fundación ESPOIR,fundacion-espoir,https://www.kiva.org/about/where-kiva-works/partners/137,Ecuador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Kenya,visionfund-kenya,https://www.kiva.org/about/where-kiva-works/partners/133,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Vision Fund Mexico,vision-fund-mexico,https://www.kiva.org/about/where-kiva-works/partners/130,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Asociación Arariwa,asociacion-arariwa,https://www.kiva.org/about/where-kiva-works/partners/119,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CAURIE Microfinance,caurie-microfinance,https://www.kiva.org/about/where-kiva-works/partners/105,Senegal,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Palestine for Credit & Development (FATEN),palestine-for-credit-development-faten,https://www.kiva.org/about/where-kiva-works/partners/80,Palestine,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Corporacion Interactuar,corporacion-interactuar,https://www.kiva.org/about/where-kiva-works/partners/701,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fintra,fintra,https://www.kiva.org/about/where-kiva-works/partners/688,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
COOPHEL ASEI,coophel-asei,https://www.kiva.org/about/where-kiva-works/partners/652,El Salvador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Avanza Sólido,avanza-solido,https://www.kiva.org/about/where-kiva-works/partners/650,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Pro Mujer Nicaragua,pro-mujer-nicaragua,https://www.kiva.org/about/where-kiva-works/partners/607,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Jibu,jibu,https://www.kiva.org/about/where-kiva-works/partners/493,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
iDE Mozambique,ide-mozambique,https://www.kiva.org/about/where-kiva-works/partners/468,Mozambique,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Assilassimé Solidarité,assilassime-solidarite,https://www.kiva.org/about/where-kiva-works/partners/296,Togo,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Interactuar,interactuar,https://www.kiva.org/about/where-kiva-works/partners/177,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Hekima,hekima,https://www.kiva.org/about/where-kiva-works/partners/160,Congo (DRC),,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CIDRE,cidre,https://www.kiva.org/about/where-kiva-works/partners/140,Bolivia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CLECAM EJOHEZA Plc,clecam-ejoheza-plc,https://www.kiva.org/about/where-kiva-works/partners/682,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
JSC Imkon Finans Microfinance organization,jsc-imkon-finans-microfinance-organization,https://www.kiva.org/about/where-kiva-works/partners/675,Uzbekistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Confiamos Colombia SAS,confiamos-colombia-sas,https://www.kiva.org/about/where-kiva-works/partners/667,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Procredito Mexico,procredito-mexico,https://www.kiva.org/about/where-kiva-works/partners/648,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
COPEME Perú,copeme-peru,https://www.kiva.org/about/where-kiva-works/partners/644,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FINCA Uganda,finca-uganda,https://www.kiva.org/about/where-kiva-works/partners/633,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Senegal,visionfund-senegal,https://www.kiva.org/about/where-kiva-works/partners/605,Senegal,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Apollo Agriculture,apollo-agriculture,https://www.kiva.org/about/where-kiva-works/partners/596,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Uganda,visionfund-uganda,https://www.kiva.org/about/where-kiva-works/partners/588,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Diaconía Asociacion para el Desarrollo de Paraguay (Diaconía ADP),diaconia-asociacion-para-el-desarrollo-de-paraguay-diaconia-adp,https://www.kiva.org/about/where-kiva-works/partners/567,Paraguay,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
"Small Enterprise Development Co., Ltd. (SED)",small-enterprise-development-co-ltd-sed,https://www.kiva.org/about/where-kiva-works/partners/564,Thailand,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa de Ahorro y Crédito Microfinanzas Prisma (COOPAC MFP),cooperativa-de-ahorro-y-credito-microfinanzas-prisma-coopac-mfp,https://www.kiva.org/about/where-kiva-works/partners/554,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Aldea Global,aldea-global,https://www.kiva.org/about/where-kiva-works/partners/507,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Chamroeun Microfinance Plc,chamroeun-microfinance-plc,https://www.kiva.org/about/where-kiva-works/partners/499,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
MCE Social Capital,mce-social-capital,https://www.kiva.org/about/where-kiva-works/partners/478,United States,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa de Ahorro y Crédito Mujeres Unidas (CACMU),cooperativa-de-ahorro-y-credito-mujeres-unidas-cacmu,https://www.kiva.org/about/where-kiva-works/partners/457,Ecuador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
OCN Prima Finantare SRL,ocn-prima-finantare-srl,https://www.kiva.org/about/where-kiva-works/partners/454,Moldova,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fondesurco,fondesurco,https://www.kiva.org/about/where-kiva-works/partners/435,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
NESsT,nesst,https://www.kiva.org/about/where-kiva-works/partners/429,Brazil,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Milaap,milaap,https://www.kiva.org/about/where-kiva-works/partners/428,India,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Priminvestnord,priminvestnord,https://www.kiva.org/about/where-kiva-works/partners/413,Moldova,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Solar and Energy Loan Fund (SELF),solar-and-energy-loan-fund-self,https://www.kiva.org/about/where-kiva-works/partners/395,United States,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Hand in Hand Eastern Africa,hand-in-hand-eastern-africa,https://www.kiva.org/about/where-kiva-works/partners/388,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Asociación Chajulense de Mujeres (ACMUV),asociacion-chajulense-de-mujeres-acmuv,https://www.kiva.org/about/where-kiva-works/partners/369,Guatemala,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Entrepreneurs du Monde - Anh Chi Em,entrepreneurs-du-monde-anh-chi-em,https://www.kiva.org/about/where-kiva-works/partners/342,Vietnam,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
ADICLA,adicla,https://www.kiva.org/about/where-kiva-works/partners/246,Guatemala,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
KosInvest,kosinvest,https://www.kiva.org/about/where-kiva-works/partners/240,Kosovo,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Agro & Social Fund,agro-social-fund,https://www.kiva.org/about/where-kiva-works/partners/239,Albania,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Sistema.bio,sistema-bio,https://www.kiva.org/about/where-kiva-works/partners/226,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Novica,novica,https://www.kiva.org/about/where-kiva-works/partners/225,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa San Jose,cooperativa-san-jose,https://www.kiva.org/about/where-kiva-works/partners/159,Ecuador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Rwanda,visionfund-rwanda,https://www.kiva.org/about/where-kiva-works/partners/117,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Tujijenge Tanzania,tujijenge-tanzania,https://www.kiva.org/about/where-kiva-works/partners/87,Tanzania,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
IMPRO,impro,https://www.kiva.org/about/where-kiva-works/partners/48,Bolivia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Asociación Grameen Costa Rica,asociacion-grameen-costa-rica,https://www.kiva.org/about/where-kiva-works/partners/700,Costa Rica,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Agricapital,agricapital,https://www.kiva.org/about/where-kiva-works/partners/690,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Borvor Finance Plc.,borvor-finance-plc,https://www.kiva.org/about/where-kiva-works/partners/678,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CSC Empowerment and Inclusion Programme (CEIP),csc-empowerment-and-inclusion-programme-ceip,https://www.kiva.org/about/where-kiva-works/partners/666,Pakistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Summit Vision Microfinance Services Limited,summit-vision-microfinance-services-limited,https://www.kiva.org/about/where-kiva-works/partners/664,Ghana,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Eskala Inc,eskala-inc,https://www.kiva.org/about/where-kiva-works/partners/651,Honduras,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Teledata ICT,teledata-ict,https://www.kiva.org/about/where-kiva-works/partners/641,Ghana,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Agora Microfinance Zambia,agora-microfinance-zambia,https://www.kiva.org/about/where-kiva-works/partners/638,Zambia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Turkish Grameen Microfinance Program (TGMP),turkish-grameen-microfinance-program-tgmp,https://www.kiva.org/about/where-kiva-works/partners/622,Turkey,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fansoto,fansoto,https://www.kiva.org/about/where-kiva-works/partners/615,Senegal,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
South Pacific Business Development (SPBD) - Vanuatu,south-pacific-business-development-spbd-vanuatu,https://www.kiva.org/about/where-kiva-works/partners/611,Vanuatu,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Women's Micro Bank (WMB),women-s-micro-bank-wmb,https://www.kiva.org/about/where-kiva-works/partners/582,Papua New Guinea,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Lewa Wildlife Conservancy,lewa-wildlife-conservancy,https://www.kiva.org/about/where-kiva-works/partners/544,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Impact Hub,impact-hub,https://www.kiva.org/about/where-kiva-works/partners/521,South Africa,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Hilltribe Organics Limited,hilltribe-organics-limited,https://www.kiva.org/about/where-kiva-works/partners/472,Thailand,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Banco do Povo Crédito Solidario,banco-do-povo-credito-solidario,https://www.kiva.org/about/where-kiva-works/partners/464,Brazil,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Dr. Bronner's / Serendipalm,dr-bronner-s-serendipalm,https://www.kiva.org/about/where-kiva-works/partners/449,Ghana,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
COCAFCAL,cocafcal,https://www.kiva.org/about/where-kiva-works/partners/448,Honduras,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Kepler,kepler,https://www.kiva.org/about/where-kiva-works/partners/441,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Together Association for Development and Environment (TADE),together-association-for-development-and-environment-tade,https://www.kiva.org/about/where-kiva-works/partners/440,Egypt,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
South Pacific Business Development (SPBD) - Solomon Islands,south-pacific-business-development-spbd-solomon-islands,https://www.kiva.org/about/where-kiva-works/partners/411,Solomon Islands,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Ibdaa Microfinance,ibdaa-microfinance,https://www.kiva.org/about/where-kiva-works/partners/404,Lebanon,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Programme d'Appui aux Initiatives de Développement Economique au Kivu (PAIDEK),programme-d-appui-aux-initiatives-de-developpement-economique-au-kivu-paidek,https://www.kiva.org/about/where-kiva-works/partners/402,Congo (DRC),,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Agence Communautaire pour le Financement de la Micro Entreprise (ACFIME),agence-communautaire-pour-le-financement-de-la-micro-entreprise-acfime,https://www.kiva.org/about/where-kiva-works/partners/398,Burkina Faso,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Soluz Honduras,soluz-honduras,https://www.kiva.org/about/where-kiva-works/partners/390,Honduras,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
ECLOF Kenya,eclof-kenya,https://www.kiva.org/about/where-kiva-works/partners/386,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Ejido Verde Reserves,ejido-verde-reserves,https://www.kiva.org/about/where-kiva-works/partners/376,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Wedu,wedu,https://www.kiva.org/about/where-kiva-works/partners/372,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Vahatra,vahatra,https://www.kiva.org/about/where-kiva-works/partners/359,Madagascar,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Escalo (Instituto Peruano de Fomento Educativo),escalo-instituto-peruano-de-fomento-educativo,https://www.kiva.org/about/where-kiva-works/partners/358,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Habitat for Humanity Mexico,habitat-for-humanity-mexico,https://www.kiva.org/about/where-kiva-works/partners/339,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
PAC,pac,https://www.kiva.org/about/where-kiva-works/partners/295,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
